school_name;city;corrected_school_name;comment
Ady Endre Ált. Isk.,Gimn. és Alapfokú Művészetoktatási Intézmény;Zalaegerszeg;Zalaegerszegi Ady Endre Általános Iskola, Gimnázium és Alapfokú Művészeti Iskola;good match, low confidence
Audi Hungaria Deutsche Schule;Győr;AUDI Hungaria Iskolaközpont Győr;good match, low confidence
Az Evangélikus Egyház Aszódi Petőfi Gimnáziuma, Szakképző Iskolája és Kollégiuma;Aszód;Aszódi Evangélikus Petőfi Gimnázium, Általános Iskola és Kollégium;good match, low confidence
Bonyhádi Petőfi Sándor Evangélikus Gimnázium és Kollégium;Bonyhád;Bonyhádi Petőfi Sándor Evangélikus Gimnázium, Kollégium, Általános Iskola és Alapfokú Művészeti Iskola;good match, low confidence
Bornemisza Péter Gimnázium és Ált. Isk.;Budapest X.;Bornemisza Péter Gimnázium, Általános Iskola, Alapfokú Művészeti Iskola, Óvoda-Bölcsőde és Sportiskola;good match, low confidence
Budaörsi Illyés Gyula Gimnázium és Közgazdasági Szakközépiskola;Budaörs;Budaörsi Illyés Gyula Gimnázium, Technikum és Szakképző Iskola;good match, low confidence
Budaörsi Illyés Gyula Gimnázium és Szakgimnázium;Budaörs;Budaörsi Illyés Gyula Gimnázium, Technikum és Szakképző Iskola;good match, low confidence
Ciszterci Nevelési Központ;Pécs;Ciszterci Rend Nagy Lajos Gimnáziuma és Kollégiuma;good match, low confidence
DE Kossuth Lajos Gyakorló Gimnázium és  Ált. Isk. Kossuth utca;Debrecen;Debreceni Egyetem Kossuth Lajos Gyakorló Gimnáziuma és Általános Iskolája;good match, low confidence
Domaszéki Bálint Sándor Ált. Isk. és AMI;Domaszék;Domaszéki Bálint Sándor Általános Iskola és Alapfokú Művészeti Iskola;good match, low confidence
Domokos Pál Péter Ált.Isk.;Budapest XI.;Domokos Pál Péter Általános Iskola;good match, low confidence
ELTE Radnóti Miklós Gyakorlóiskola;Budapest XIV.;ELTE Radnóti Miklós Gyakorló Általános Iskola és Gyakorló Gimnázium;good match, low confidence
Egry József Ált. Isk. és AMI;Keszthely;Egry József Általános Iskola és Alapfokú Művészeti Iskola;good match, low confidence
Eszterházy Károly Egyetem Gyakorlóiskola;Eger;Eszterházy Károly Katolikus Egyetem Gyakorló Általános Iskola, Gimnázium, Alapfokú Művészeti Iskola és Technikum;good match, low confidence
Eszterházy Károly Egyetem Gyakorlóiskolája;Eger;Eszterházy Károly Katolikus Egyetem Gyakorló Általános Iskola, Gimnázium, Alapfokú Művészeti Iskola és Technikum;good match, low confidence
Eszterházy Károly Főiskola Gyakorlóiskolája;Eger;Eszterházy Károly Katolikus Egyetem Gyakorló Általános Iskola, Gimnázium, Alapfokú Művészeti Iskola és Technikum;good match, low confidence
Eötvös József Általános Művelődési Központ Általános Iskolája;Diósd;Diósdi Eötvös József Német Nemzetiségi Általános Iskola és Alapfokú Művészeti Iskola;good match, low confidence
Fillér Utcai Ált. Isk.;Budapest II.;Fillér Utcai Általános Iskola;good match, low confidence
Gazdagrét-Törökugrató Ált. Isk.;Budapest XI.;Gazdagrét - Törökugrató Általános Iskola;good match, low confidence
II. Rákóczi Ferenc Ált. Isk., Gimnázium;Szécsény;II. Rákóczi Ferenc Általános Iskola;good match, low confidence
II.Rákóczi Ferenc Ált. Isk. és Gimn.;Szentendre;Szentendrei II. Rákóczi Ferenc Általános Iskola és Gimnázium;good match, low confidence
IV. Béla Kat. Isk. és AMI;Jászfényszaru;IV. Béla Katolikus Általános Iskola és Alapfokú Művészeti Iskola;good match, low confidence
Jókai M. Ref. Ált. Iskola;Miskolc;Jókai Mór Református Magyar-Angol Két Tanítási Nyelvű Általános Iskola, Alapfokú Művészeti Iskola és Óvoda;good match, low confidence
Patrona Hungariae Katolikus Iskolaközpont;Budapest IX.;Patrona Hungariae Általános Iskola, Gimnázium, Kollégium és Alapfokú Művészeti Iskola;good match, low confidence
Premontrei Szent Norbert Gimnázium, Egyházzenei Szakközépiskola és Diákotthon;Gödöllő;Premontrei Szent Norbert Gimnázium, Egyházzenei Szakgimnázium, Alapfokú Művészeti Iskola és Kollégium;good match, low confidence
Prímási Iskolaközpont;Esztergom;Prímási Katolikus Nyelvoktató Német Nemzetiségi Általános Iskola és Óvoda;good match, low confidence
Szent II. János Pál Iskolaközpont;Budapest XI.;Szent II. János Pál Óvoda, Általános Iskola és Gimnázium;good match, low confidence
Szent Orsolya Bencés Iskolaközpont;Dombóvár;Szent Orsolya Bencés Általános Iskola, Alapfokú Művészeti Iskola és Kollégium;good match, low confidence
Széchenyi István Általános Iskola, Óvoda és Zeneiskola;Jászárokszállás;Jászárokszállási Széchenyi István Általános Iskola és Alapfokú Művészeti Iskola;good match, low confidence
Tomori Pál Tagiskola;Budapest XIII.;Budapest XIII. Kerületi Tomori Pál Általános Iskola;good match, low confidence
Táncsics Mihály Ált Isk és Gimn;Budapest XVI.;Budapest XVI. Kerületi Táncsics Mihály Általános Iskola és Gimnázium;good match, low confidence
Újbudai Alma Mater Általános Iskola, Alapfokú Művészetoktatási Intézmény;Budapest XI.;Új Budai Alma Mater Általános Iskola, Alapfokú Művészeti Iskola és Óvoda;good match, low confidence
Chiovini Ferenc Kolping Katolikus Általános Iskola;Besenyszög;Chiovini Ferenc Általános Iskola és Alapfokú Művészeti Iskola;good match, low confidence
Dunaföldvári Magyar László Gimnázium;Dunaföldvár;Magyar László Görögkatolikus Gimnázium és Technikum;good match, low confidence
EKE Gyakorlóiskola;Eger;Eszterházy Károly Katolikus Egyetem Gyakorló Általános Iskola, Gimnázium, Alapfokú Művészeti Iskola és Technikum;manual match
EKKE Gyakorlóiskola;Eger;Eszterházy Károly Katolikus Egyetem Gyakorló Általános Iskola, Gimnázium, Alapfokú Művészeti Iskola és Technikum;manual match
GYAKI 5. sz. Ált. Isk. és Sportiskola Tagintézménye;Gyula;Gyulai Implom József Általános Iskola;manual match
Honvéd Utcai Tagiskola;Kaposvár;Kaposvári Kodály Zoltán Központi Általános Iskola;manual match
Kisfaludy Utcai Tagiskola;Kaposvár;Kaposvári Kodály Zoltán Központi Általános Iskola;manual match
Kossuth Lajos Evangélikus Óvoda, Általános Iskola, Gimnázium és Pedagógiai Szakközépiskola;Miskolc;Kossuth Lajos Evangélikus Óvoda, Általános Iskola és Alapfokú Művészeti Iskola, Gimnázium, Szakgimnázium és Technikum;manual match
Mezőkovácsházi Csanád Vezér Általános Iskola és AMI;Mezőkovácsháza;Mezőkovácsházi Hunyadi János Általános Iskola, Gimnázium és Kollégium;megszűnt, jogutód
PTE Gyak. Ált. Isk., Gimn. és Szakk. Deák F. Gimnáziuma és Általános Iskolája;Pécs;Pécsi Tudományegyetem Gyakorló Általános Iskola, Gimnázium és Óvoda;manual match
Premontrei Iskolaközpont;Gödöllő;Premontrei Szent Norbert Gimnázium, Egyházzenei Szakgimnázium, Alapfokú Művészeti Iskola és Kollégium;manual match
Rónai Ferenc Tagiskola;Miskolc;Miskolci Petőfi Sándor Általános Iskola;manual match
Rózsadombi Általános Iskola;Budapest II.;Pitypang Utcai Általános Iskola;manual match
Szabó Magda Magyar- Angol Kéttannyelvű Általános Iskola;Budapest II.;Szabó Magda Magyar-Angol Két Tanítási Nyelvű Általános Iskola;manual match
Tapolcai Ált. Isk. Batsányi J. Tagintézmény;Tapolca;Tapolcai Bárdos Lajos Általános Iskola;manual match
Csikihegyek Általános Iskola;Budapest XI.;Gazdagréti Sport Általános Iskola;manual match
Fóti Ökumenikus Általános Iskola és Gimnázium;Fót;DROP;megszűnt
Gazdagrét-Csíkihegyek Általános Iskola;Budapest XI.;Gazdagréti Sport Általános Iskola;manual match
Hegyháti Általános Iskola és Alapfokú Művészeti Iskola;Mágocs;Mágocsi Általános Iskola ;manual match
Mustármag Keresztény Óvoda, Általános Iskola és Gimnázium;Budapest III.;Szent József Katolikus Óvoda, Általános Iskola és Gimnázium;manual match
Rózsadombi Általános Iskola;Budapest;Pitypang Utcai Általános Iskola;manual match
Szent Imre Katolikus Gimnázium,Általános Iskola,Kollégium,Óvoda és Alapfokú Művészeti Iskola;Nyíregyháza;Szent Imre Katolikus Gimnázium, Két Tanítási Nyelvű Általános Iskola, Kollégium, Óvoda és Alapfokú Művészeti Iskola;manual match
Vénkerti Általános Iskola, Óvoda és AMI;Debrecen;Vénkerti Általános Iskola és Alapfokú Művészeti Iskola;manual match
